index,drg,drgnum,ePos,eType,fiberD_c,fiberD_p,fiberType,ground,neckAngle,neckD,nodes,phase,polarity,pw,scatterType,scatter_d,scatter_x,scatter_y,scatter_z,shift,soma_x,soma_y,soma_z,spikeOrigin,spikeT,status,thresh,timestep,tjnPos,tjn_x,tjn_y,tjn_z,x_spike,xshift,y_spike,z_spike
34,random,4,x0y0,utah,14.99,18.0,Aa,saline,51.03846858239296,18.0,,b,-1,0.08,soma,90.61329101,-358.37389987875775,1099.1987434928787,291.23507526461566,,-358.0,1099.6464475446883,291.09681869354415,tjn,5.1650000000001075,success,27.99072265625,0.005,"(-358, 454, -231)",-358.0,454.0,-231.0,-358.0,,454.0,-231.0
35,random,4,x0y0,utah,10.814,13.2,Aa,saline,77.96756946269478,13.2,,b,-1,0.08,soma,77.26502112200002,-64.36481540317017,216.21224565290868,-1020.625224691084,,-64.0,216.51259532865822,-1020.2726215480315,none,0.0,success,105.0,0.005,"(-64, -589, -1192)",-64.0,-589.0,-1192.0,,,,
36,random,4,x0y0,utah,12.988999999999999,15.7,Aa,saline,293.7878804496592,15.7,,b,-1,0.08,soma,84.217245022,736.3368851679357,334.05687685977415,511.90662697872636,,736.0,334.1956104024348,511.6556183209375,none,0.0,success,105.0,0.005,"(736, 1091, 178)",736.0,1091.0,178.0,,,,
37,random,4,x0y0,utah,13.685,16.5,Aa,saline,111.29268462552368,16.5,,b,-1,0.08,soma,86.44195667,1782.9344696550693,1001.8720481540497,-230.75200198805626,,1783.0,1001.6534855147196,-230.72703723343852,central,5.330000000000133,success,74.1455078125,0.005,"(1783, 230, 70)",1783.0,230.0,70.0,1783.0,,230.0,70.0
38,random,4,x0y0,utah,12.815,15.5,Aa,saline,352.3454606879966,15.5,,b,-1,0.08,soma,83.66106711,1907.6993656045813,-162.007870406534,236.61432422389817,,1908.0,-162.13382706952603,236.47174180636068,none,0.0,success,105.0,0.005,"(1908, -52, -583)",1908.0,-52.0,-583.0,,,,
39,random,4,x0y0,utah,14.381,17.3,Aa,saline,49.1563779495565,17.3,,b,-1,0.08,soma,88.66666831799999,-216.10076129306165,186.69305102873932,996.7400815686627,,-216.0,186.39066729128365,996.3840005399862,none,0.0,success,105.0,0.005,"(-216, -441, 454)",-216.0,-441.0,454.0,,,,
40,random,4,x0y0,utah,13.859,16.7,Aa,saline,195.4778954841575,16.7,,b,-1,0.08,soma,86.998134582,386.0093504580723,-122.23575963935812,387.94734881521117,,386.0,-122.126401059968,387.57544885166305,none,0.0,success,105.0,0.005,"(386, 99, 1186)",386.0,99.0,1186.0,,,,
41,random,4,x0y0,utah,11.161999999999999,13.6,Aa,saline,169.24317248044608,13.6,,b,-1,0.08,soma,78.377376946,355.8848993303427,304.4117393081633,113.17074709478993,,356.0,304.79360926906185,113.3170324441245,none,0.0,success,105.0,0.005,"(356, 151, 923)",356.0,151.0,923.0,,,,
42,random,4,x0y0,utah,11.597,14.1,Aa,saline,197.13321311727225,14.1,,b,-1,0.08,soma,79.76782172600001,-1366.137402145004,-375.7592189546972,53.470000054305274,,-1366.0,-376.01080014023984,53.740934779316945,none,0.0,success,105.0,0.005,"(-1366, -133, 842)",-1366.0,-133.0,842.0,,,,
43,random,4,x0y0,utah,11.945,14.5,Aa,saline,42.86666899391295,14.5,,b,-1,0.08,soma,80.88017755,-417.3589552771981,275.1191045715077,-208.54147464835341,,-417.0,275.5468923936327,-209.03495893680235,none,0.0,success,105.0,0.005,"(-417, -286, -814)",-417.0,-286.0,-814.0,,,,
44,random,4,x0y0,utah,14.207,17.1,Aa,saline,1.2771694611247053,17.1,,b,-1,0.08,soma,88.110490406,638.2729044003255,-651.9002819800835,101.00218459663436,,638.0,-651.5120680319731,100.88943415395966,none,0.0,success,105.0,0.005,"(638, -670, -728)",638.0,-670.0,-728.0,,,,
45,random,4,x0y0,utah,11.858,14.4,Aa,saline,104.77890965755422,14.4,,b,-1,0.08,soma,80.60208859400001,25.59269788824503,521.0871794422192,-174.43530421172642,,26.0,520.9835797307695,-174.53429640016475,periphery,5.450000000000152,success,61.23046875,0.005,"(26, -277, 36)",26.0,-277.0,36.0,26.0,,-277.0,36.0
46,random,4,x0y0,utah,10.379,12.7,Aa,saline,267.05852033181645,12.7,,b,-1,0.08,soma,75.874576342,948.6684485609107,-464.0016835578698,931.0806911306822,,949.0,-463.86746969637795,930.7833171168277,none,0.0,success,105.0,0.005,"(949, 358, 973)",949.0,358.0,973.0,,,,
47,random,4,x0y0,utah,12.815,15.5,Aa,saline,0.2464782724384662,15.5,,b,-1,0.08,soma,83.66106711,-1202.3134537256894,529.145388584011,342.01167653098764,,-1202.0,529.5553712942865,341.8305335550002,none,0.0,success,105.0,0.005,"(-1202, 526, -485)",-1202.0,526.0,-485.0,,,,
48,random,4,x0y0,utah,14.381,17.3,Aa,saline,288.0035884637165,17.3,,b,-1,0.08,soma,88.66666831799999,-709.5096906893306,160.0509572068249,747.1253149237527,,-710.0,160.3039992147908,747.346933588547,none,0.0,success,105.0,0.005,"(-710, 949, 491)",-710.0,949.0,491.0,,,,
49,random,4,x0y0,utah,12.467,15.1,Aa,saline,0.37253152200029227,15.1,,b,-1,0.08,soma,82.548711286,-1814.318453644408,790.8926371379389,851.7085690251042,,-1814.0,791.3707833116795,851.2743556430001,periphery,5.220000000000116,success,30.9814453125,0.005,"(-1814, 786, 25)",-1814.0,786.0,25.0,-1814.0,,786.0,25.0
50,random,4,x0y0,utah,13.424,16.2,Aa,saline,192.80285235593456,16.2,,b,-1,0.08,soma,85.607689802,339.2492260731268,536.933383835772,136.94917091672733,,339.0,536.5586679699384,136.80847083703475,tjn,5.700000000000191,success,57.6416015625,0.005,"(339, 720, 944)",339.0,720.0,944.0,339.0,,720.0,944.0
51,random,4,x0y0,utah,14.207,17.1,Aa,saline,119.03091349812912,17.1,,b,-1,0.08,soma,88.110490406,1890.6529871306784,741.5354872240091,485.46094718425684,,1891.0,741.9259064055034,485.65948950298394,none,0.0,success,105.0,0.005,"(1891, 17, 888)",1891.0,17.0,888.0,,,,
52,random,4,x0y0,utah,10.379,12.7,Aa,saline,250.1630004303676,12.7,,b,-1,0.08,soma,75.874576342,1715.0265046321051,74.40664834673908,-524.3133233651306,,1715.0,74.86289301754016,-524.2226218764204,central,5.320000000000132,success,69.27490234375,0.005,"(1715, 849, -245)",1715.0,849.0,-245.0,1715.0,,849.0,-245.0
53,random,4,x0y0,utah,13.946,16.8,Aa,saline,173.43066080759587,16.8,,b,-1,0.08,soma,87.27622353800001,-1817.0233919069628,434.951436075587,-1154.9230245876513,,-1817.0,434.7961999863736,-1155.1691002313248,periphery,5.290000000000127,success,70.9228515625,0.005,"(-1817, 340, -332)",-1817.0,340.0,-332.0,-1817.0,,340.0,-332.0
54,random,4,x0y0,utah,13.424,16.2,Aa,saline,65.2483483057394,16.2,,b,-1,0.08,soma,85.607689802,1607.8255694100974,377.94350301424765,1042.8322449901766,,1608.0,377.72867155459824,1042.6014698600488,none,0.0,success,105.0,0.005,"(1608, -374, 696)",1608.0,-374.0,696.0,,,,
55,random,4,x0y0,utah,10.553,12.9,Aa,saline,300.16547240922597,12.9,,b,-1,0.08,soma,76.430754254,1241.53464638717,-125.3351260274585,1105.0717585757284,,1242.0,-125.75201506400447,1104.6657270063176,none,0.0,success,105.0,0.005,"(1242, 586, 691)",1242.0,586.0,691.0,,,,
56,random,4,x0y0,utah,14.816,17.8,Aa,saline,308.1316728949322,17.8,,b,-1,0.08,soma,90.05711309799999,-331.63383542443256,-382.9498016672501,174.50488770294257,,-332.0,-382.90046258144355,174.5426336690076,periphery,5.215000000000115,success,87.286376953125,0.005,"(-332, 270, -338)",-332.0,270.0,-338.0,-332.0,,270.0,-338.0
57,random,4,x0y0,utah,14.729,17.7,Aa,saline,39.53384989210021,17.7,,b,-1,0.08,soma,89.77902414200001,674.6970709856719,206.03900260672344,-171.52102269596844,,675.0,206.22467443319158,-171.98920829084466,none,0.0,success,105.0,0.005,"(675, -322, -812)",675.0,-322.0,-812.0,,,,
58,random,4,x0y0,utah,12.38,15.0,Aa,saline,87.89260844853926,15.0,,b,-1,0.08,soma,82.27062233000002,-1297.5616725933446,401.11050663060234,281.2943044116328,,-1298.0,401.55701644718476,281.401779450872,none,0.0,success,105.0,0.005,"(-1298, -424, 251)",-1298.0,-424.0,251.0,,,,
59,random,4,x0y0,utah,12.293000000000001,14.9,Aa,saline,191.13154839605426,14.9,,b,-1,0.08,soma,81.99253337399999,-1236.1723849538005,300.7650562230947,83.67570370847307,,-1236.0,300.50012090274026,83.53246312671536,none,0.0,success,105.0,0.005,"(-1236, 460, 894)",-1236.0,460.0,894.0,,,,
60,random,4,x0y0,utah,11.771,14.3,Aa,saline,4.432002376372436,14.3,,b,-1,0.08,soma,80.323999638,-662.9809486751159,655.2024973020789,420.60817384519083,,-663.0,654.7850225860087,420.6865138195433,central,5.270000000000124,success,66.05224609375,0.005,"(-663, 591, -402)",-663.0,591.0,-402.0,-663.0,,591.0,-402.0
61,random,4,x0y0,utah,13.859,16.7,Aa,saline,318.98092538099615,16.7,,b,-1,0.08,soma,86.998134582,-1526.5804988234122,283.67259044000457,-274.5885938690303,,-1527.0,283.2560621369165,-274.89745372894026,none,0.0,success,105.0,0.005,"(-1527, 827, -900)",-1527.0,827.0,-900.0,,,,
62,random,4,x0y0,utah,10.64,13.0,Aa,saline,266.2362718598741,13.0,,b,-1,0.08,soma,76.70884321,-254.67273860031648,-627.7530423894291,-882.0257046261104,,-255.0,-627.5430418774692,-882.012050057288,none,0.0,success,105.0,0.005,"(-255, 194, -828)",-255.0,194.0,-828.0,,,,
63,random,4,x0y0,utah,12.206000000000001,14.8,Aa,saline,92.67244963338993,14.8,,b,-1,0.08,soma,81.714444418,1165.8931457352244,1205.2638949975646,366.5280217542472,,1166.0,1204.9487792645702,366.5150534450606,central,5.330000000000133,success,98.291015625,0.005,"(1166, 380, 405)",1166.0,380.0,405.0,1166.0,,380.0,405.0
64,random,4,x0y0,utah,13.772000000000002,16.6,Aa,saline,252.5813131282692,16.6,,b,-1,0.08,soma,86.720045626,295.3594960530697,-320.2605066868737,-1144.9033204434215,,295.0,-320.33829776588345,-1145.0109908302122,none,0.0,success,105.0,0.005,"(295, 470, -897)",295.0,470.0,-897.0,,,,
65,random,4,x0y0,utah,12.119,14.7,Aa,saline,184.16187733771525,14.7,,b,-1,0.08,soma,81.436355462,898.8783081259033,-315.61757879550487,-1082.1009028299816,,899.0,-315.94713970327064,-1082.5713104688996,none,0.0,success,105.0,0.005,"(899, -256, -259)",899.0,-256.0,-259.0,,,,
66,random,4,x0y0,utah,11.161999999999999,13.6,Aa,saline,232.1389724971189,13.6,,b,-1,0.08,soma,78.377376946,903.2232707232599,-28.916804324479926,-1389.0014581355676,,903.0,-28.696969549433675,-1388.8045981158803,none,0.0,success,105.0,0.005,"(903, 622, -883)",903.0,622.0,-883.0,,,,
67,random,4,x0y0,utah,13.424,16.2,Aa,saline,4.6143118196706965,16.2,,b,-1,0.08,soma,85.607689802,-784.8973743879544,-405.95093385536484,-409.08875364830146,,-785.0,-406.4445708699596,-408.84512740268303,none,0.0,success,105.0,0.005,"(-785, -473, -1234)",-785.0,-473.0,-1234.0,,,,
68,random,4,x0y0,utah,12.902,15.6,Aa,saline,96.49509430543257,15.6,,b,-1,0.08,soma,83.93915606600001,-1299.3242909657758,695.7607182273773,715.4675452513537,,-1299.0,695.6769727335891,715.4697407244677,none,0.0,success,105.0,0.005,"(-1299, -126, 809)",-1299.0,-126.0,809.0,,,,
69,random,4,x0y0,utah,15.077000000000002,18.1,Aa,saline,9.363820006768076,18.1,,b,-1,0.08,soma,90.891379966,-337.9852431825898,42.72742414939057,1319.3353658499873,,-338.0,43.113513760234156,1319.4007623062264,none,0.0,success,105.0,0.005,"(-338, -92, 500)",-338.0,-92.0,500.0,,,,
70,random,4,x0y0,utah,13.685,16.5,Aa,saline,293.0839828425423,16.5,,b,-1,0.08,soma,86.44195667,1216.8353565399734,-243.00338480607246,950.6526839177943,,1217.0,-242.88047797036666,950.7454456051536,none,0.0,success,105.0,0.005,"(1217, 519, 626)",1217.0,519.0,626.0,,,,
71,random,4,x0y0,utah,12.467,15.1,Aa,saline,177.873141717076,15.1,,b,-1,0.08,soma,82.548711286,61.834552938675024,-17.307549818215193,-320.9253219773492,,62.0,-17.345221405644693,-320.69596359405,none,0.0,success,105.0,0.005,"(62, -48, 505)",62.0,-48.0,505.0,,,,
72,random,4,x0y0,utah,10.727,13.1,Aa,saline,173.1665967489497,13.1,,b,-1,0.08,soma,76.986932166,1698.553917652527,476.61085315952005,-489.3447712947232,,1699.0,476.99572246387703,-489.6466624738108,central,5.300000000000129,success,87.286376953125,0.005,"(1699, 379, 328)",1699.0,379.0,328.0,1699.0,,379.0,328.0
73,random,4,x0y0,utah,12.032,14.6,Aa,saline,127.90439388412143,14.6,,b,-1,0.08,soma,81.15826650599999,-102.9088912222547,432.67458586364137,91.08677768141432,,-103.0,432.38193613661724,90.84673844268201,neck0,5.745000000000198,success,50.927734375,0.005,"(-103, -219, 598)",-103.0,-219.0,598.0,-103.0,,302.1055489092938,192.2773907541456
